"name","app_price","game_price","app_rating","game_rating","app_store_genre","play_store_genre","lifespan_years","estamated_revenue","estemated_spending","total_revenue"
"Instagram",0.00,0.00,4.5,4.5,"Photo & Video","Social",10.0,600000,130000,490000
"Microsoft Excel",0.00,0.00,4.5,4.5,"Productivity","Productivity",10.0,600000,130000,490000
"Microsoft Word",0.00,0.00,4.5,4.5,"Productivity","Productivity",10.0,600000,130000,490000
"My Horse",0.00,0.00,4.5,4.5,"Games","Casual",10.0,600000,130000,490000
"My Talking Angela",0.00,0.00,4.5,4.5,"Games","Casual",10.0,600000,130000,490000
"My Talking Tom",0.00,0.00,4.5,4.5,"Games","Casual",10.0,600000,130000,490000
"Nyan Cat: Lost In Space",0.00,0.00,4.5,4.5,"Games","Arcade",10.0,600000,130000,490000
"OK K.O.! Lakewood Plaza Turbo",0.00,0.00,4.5,4.5,"Games","Action;Action & Adventure",10.0,600000,130000,490000
"PicsArt Photo Studio: Collage Maker & Pic Editor",0.00,0.00,4.5,4.5,"Photo & Video","Photography",10.0,600000,130000,490000
"Real Basketball",0.00,0.00,4.5,4.5,"Games","Sports",10.0,600000,130000,490000
"Real Racing 3",0.00,0.00,4.5,4.5,"Games","Racing;Action & Adventure",10.0,600000,130000,490000
"ROBLOX",0.00,0.00,4.5,4.5,"Games","Adventure;Action & Adventure",10.0,600000,130000,490000
"Rolling Sky",0.00,0.00,4.5,4.5,"Games","Board",10.0,600000,130000,490000
"Seven - 7 Minute Workout Training Challenge",0.00,0.00,4.5,4.5,"Health & Fitness","Health & Fitness",10.0,600000,130000,490000
"SimCity BuildIt",0.00,0.00,4.5,4.5,"Games","Simulation",10.0,600000,130000,490000
"Smash Hit",0.00,0.00,4.5,4.5,"Games","Arcade",10.0,600000,130000,490000
"Sonic Dash",0.00,0.00,4.5,4.5,"Games","Arcade",10.0,600000,130000,490000
"Star Wars™: Galaxy of Heroes",0.00,0.00,4.5,4.5,"Games","Role Playing",10.0,600000,130000,490000
"Starbucks",0.00,0.00,4.5,4.5,"Food & Drink","Food & Drink",10.0,600000,130000,490000
"Subway Surfers",0.00,0.00,4.5,4.5,"Games","Arcade",10.0,600000,130000,490000
"The Washington Post Classic",0.00,0.00,4.5,4.5,"News","News & Magazines",10.0,600000,130000,490000
"Traffic Racer",0.00,0.00,4.5,4.5,"Games","Racing",10.0,600000,130000,490000
"Trello",0.00,0.00,4.5,4.5,"Productivity","Productivity",10.0,600000,130000,490000
"Trivia Crack",0.00,0.00,4.5,4.5,"Games","Trivia",10.0,600000,130000,490000
"Wish - Shopping Made Fun",0.00,0.00,4.5,4.5,"Shopping","Shopping",10.0,600000,130000,490000
"YouTube Kids",0.00,0.00,4.5,4.5,"Entertainment","Entertainment;Music & Video",10.0,600000,130000,490000
"Adobe Illustrator Draw",0.00,0.00,4.5,4.4,"Productivity","Photography",9.9,600000,130000,490000
"Angry Birds Rio",0.00,0.00,4.5,4.4,"Games","Arcade",9.9,600000,130000,490000
"Bad Piggies HD",0.00,0.00,4.5,4.4,"Games","Puzzle",9.9,600000,130000,490000
"Bejeweled Classic",0.00,0.00,4.5,4.4,"Games","Casual",9.9,600000,130000,490000
"Call of Duty®: Heroes",0.00,0.00,4.5,4.4,"Games","Action",9.9,600000,130000,490000
"Candy Crush Saga",0.00,0.00,4.5,4.4,"Games","Casual",9.9,600000,130000,490000
"Candy Crush Soda Saga",0.00,0.00,4.5,4.4,"Games","Casual",9.9,600000,130000,490000
"ClassDojo",0.00,0.00,4.5,4.4,"Education","Education;Education",9.9,600000,130000,490000
"Design Home",0.00,0.00,4.5,4.4,"Games","Simulation",9.9,600000,130000,490000
"Farm Heroes Saga",0.00,0.00,4.5,4.4,"Games","Casual",9.9,600000,130000,490000
"Gear.Club - True Racing",0.00,0.00,4.5,4.4,"Games","Racing",9.9,600000,130000,490000
"Hill Climb Racing",0.00,0.00,4.5,4.4,"Games","Racing",9.9,600000,130000,490000
"Injustice: Gods Among Us",0.00,0.00,4.5,4.4,"Games","Action",9.9,600000,130000,490000
"Inside Out Thought Bubbles",0.00,0.00,4.5,4.4,"Games","Puzzle;Brain Games",9.9,600000,130000,490000
"Jetpack Joyride",0.00,0.00,4.5,4.4,"Games","Arcade",9.9,600000,130000,490000
"Microsoft OneNote",0.00,0.00,4.5,4.4,"Productivity","Productivity",9.9,600000,130000,490000
"MORTAL KOMBAT X",0.00,0.00,4.5,4.4,"Games","Action",9.9,600000,130000,490000
"Need for Speed™ No Limits",0.00,0.00,4.5,4.4,"Games","Racing",9.9,600000,130000,490000
"PES CLUB MANAGER",0.00,0.00,4.5,4.4,"Games","Sports",9.9,600000,130000,490000
"Photo Editor by Aviary",0.00,0.00,4.5,4.4,"Photo & Video","Photography",9.9,600000,130000,490000
"Plants vs. Zombies™ 2",0.00,0.00,4.5,4.4,"Games","Casual",9.9,600000,130000,490000
"Plants vs. Zombies™ Heroes",0.00,0.00,4.5,4.4,"Games","Casual;Action & Adventure",9.9,600000,130000,490000
"Red Ball 4",0.99,0.00,4.5,4.4,"Games","Arcade",9.9,600000,130000,490000
"Solitaire",0.00,0.00,4.5,4.4,"Games","Card;Brain Games",9.9,600000,130000,490000
"Swamp Attack",0.00,0.00,4.5,4.4,"Games","Action",9.9,600000,130000,490000
"Talking Tom Bubble Shooter",0.00,0.00,4.5,4.4,"Games","Casual",9.9,600000,130000,490000
"The CW",0.00,0.00,4.5,4.4,"Entertainment","Entertainment",9.9,600000,130000,490000
"WhatsApp Messenger",0.00,0.00,4.5,4.4,"Social Networking","Communication",9.9,600000,130000,490000
"Yahoo Weather",0.00,0.00,4.5,4.4,"Weather","Weather",9.9,600000,130000,490000
"Zombie Tsunami",0.00,0.00,4.5,4.4,"Games","Arcade",9.9,600000,130000,490000
"Afterlight",0.99,0.00,4.5,4.3,"Photo & Video","Photography",9.8,600000,130000,490000
"Angry Birds Star Wars",0.00,0.00,4.5,4.3,"Games","Arcade",9.8,600000,130000,490000
"Bad Piggies",0.00,0.00,4.5,4.3,"Games","Puzzle",9.8,600000,130000,490000
"Doodle Jump",0.99,0.00,4.5,4.3,"Games","Arcade",9.8,600000,130000,490000
"Episode - Choose Your Story",0.00,0.00,4.5,4.3,"Games","Simulation",9.8,600000,130000,490000
"Flow Free",0.00,0.00,4.5,4.3,"Games","Puzzle",9.8,600000,130000,490000
"Frozen Free Fall",0.00,0.00,4.5,4.3,"Games","Puzzle;Action & Adventure",9.8,600000,130000,490000
"Fruit Ninja®",0.00,0.00,4.5,4.3,"Games","Arcade",9.8,600000,130000,490000
"GMX Mail",0.00,0.00,4.5,4.3,"Productivity","Communication",9.8,600000,130000,490000
"Google Docs",0.00,0.00,4.5,4.3,"Productivity","Productivity",9.8,600000,130000,490000
"Google Sheets",0.00,0.00,4.5,4.3,"Productivity","Productivity",9.8,600000,130000,490000
"MARVEL Contest of Champions",0.00,0.00,4.5,4.3,"Games","Action",9.8,600000,130000,490000
"PAC-MAN Pop",0.00,0.00,4.5,4.3,"Games","Puzzle;Action & Adventure",9.8,600000,130000,490000
"Photo Editor-",0.00,0.00,4.5,4.3,"Photo & Video","Photography",9.8,600000,130000,490000
"Pineapple Pen",0.00,0.00,4.5,4.3,"Games","Arcade",9.8,600000,130000,490000
"Pou",0.00,0.00,4.5,4.3,"Games","Casual",9.8,600000,130000,490000
"Regal Cinemas",0.00,0.00,4.5,4.3,"Entertainment","Entertainment",9.8,600000,130000,490000
"Smashy Road: Arena",0.00,0.00,4.5,4.3,"Games","Action",9.8,600000,130000,490000
"Star Chart",0.00,0.00,4.5,4.3,"Education","Education;Education",9.8,600000,130000,490000
"Summoners War",0.00,0.00,4.5,4.3,"Games","Role Playing",9.8,600000,130000,490000
"Super Jabber Jump",0.00,0.00,4.5,4.3,"Games","Arcade",9.8,600000,130000,490000
"Temple Run",0.00,0.00,4.5,4.3,"Games","Arcade",9.8,600000,130000,490000
"Temple Run 2",0.00,0.00,4.5,4.3,"Games","Action",9.8,600000,130000,490000
"The Sims™ FreePlay",0.00,0.00,4.5,4.3,"Games","Simulation",9.8,600000,130000,490000
"Verizon Cloud",0.00,0.00,4.5,4.3,"Productivity","Productivity",9.8,600000,130000,490000
"WGT Golf Game by Topgolf",0.00,0.00,4.5,4.3,"Games","Sports",9.8,600000,130000,490000
"Wishbone - Compare Anything",0.00,0.00,4.5,4.3,"Social Networking","Social",9.8,600000,130000,490000
"Xbox",0.00,0.00,4.5,4.3,"Entertainment","Entertainment",9.8,600000,130000,490000
"aa",0.00,0.00,4.5,4.2,"Games","Strategy",9.7,600000,130000,490000
"Agar.io",0.00,0.00,4.5,4.2,"Games","Action",9.7,600000,130000,490000
"Deck Heroes: Legacy",0.00,0.00,4.0,4.7,"Games","Card",9.7,600000,130000,490000
"Dubsmash",0.00,0.00,4.5,4.2,"Entertainment","Video Players & Editors",9.7,600000,130000,490000
"Talking Ginger 2",0.00,0.00,4.5,4.2,"Entertainment","Entertainment",9.7,600000,130000,490000
"WeChat",0.00,0.00,4.5,4.2,"Social Networking","Communication",9.7,600000,130000,490000
"Angry Birds 2",0.00,0.00,4.0,4.6,"Games","Casual",9.6,600000,130000,490000
"Fandango Movies - Times + Tickets",0.00,0.00,4.0,4.6,"Entertainment","Entertainment",9.6,600000,130000,490000
"My Emma :)",0.00,0.00,4.5,4.1,"Games","Casual",9.6,600000,130000,490000
"Tomb of the Mask",0.00,0.00,4.5,4.1,"Games","Action",9.6,600000,130000,490000
"Angry Birds Space HD",0.00,0.00,4.0,4.5,"Games","Arcade",9.5,600000,130000,490000
"Endless Ducker",0.00,0.00,4.0,4.5,"Games","Arcade",9.5,600000,130000,490000
"Farming Simulator 14",0.00,0.00,4.0,4.5,"Games","Simulation;Action & Adventure",9.5,600000,130000,490000
"Mad Skills Motocross",0.99,0.00,4.5,4.0,"Games","Racing",9.5,600000,130000,490000
"Microsoft PowerPoint",0.00,0.00,4.0,4.5,"Productivity","Productivity",9.5,600000,130000,490000
"Snapseed",0.00,0.00,4.0,4.5,"Photo & Video","Photography",9.5,600000,130000,490000
"Tiny Archers",0.00,0.00,4.0,4.5,"Games","Action",9.5,600000,130000,490000
"USAA Mobile",0.00,0.00,4.0,4.5,"Finance","Finance",9.5,600000,130000,490000
"WWE",0.00,0.00,4.0,4.5,"Entertainment","Entertainment",9.5,600000,130000,490000
"Airbnb",0.00,0.00,4.0,4.4,"Travel","Travel & Local",9.4,540000,118000,442000
"Best Buy",0.00,0.00,4.0,4.4,"Shopping","Shopping",9.4,540000,118000,442000
"Crazy Freekick",0.00,0.00,4.5,3.9,"Games","Sports",9.4,540000,118000,442000
"Firefox Focus: The privacy browser",0.00,0.00,4.0,4.4,"Utilities","Communication",9.4,540000,118000,442000
"NBA LIVE Mobile Basketball",0.00,0.00,4.0,4.4,"Games","Sports",9.4,540000,118000,442000
"Tumblr",0.00,0.00,4.0,4.4,"Social Networking","Social",9.4,540000,118000,442000
"ADP Mobile Solutions",0.00,0.00,4.0,4.3,"Business","Business",9.3,540000,118000,442000
"Amex Mobile",0.00,0.00,4.0,4.3,"Finance","Finance",9.3,540000,118000,442000
"Bike Unchained",0.00,0.00,4.0,4.3,"Games","Sports",9.3,540000,118000,442000
"Candy Crush Jelly Saga",0.00,0.00,4.0,4.3,"Games","Puzzle",9.3,540000,118000,442000
"Indeed Job Search",0.00,0.00,4.0,4.3,"Business","Business",9.3,540000,118000,442000
"Kik",0.00,0.00,4.0,4.3,"Social Networking","Communication",9.3,540000,118000,442000
"Puffin Web Browser",0.00,0.00,4.0,4.3,"Utilities","Communication",9.3,540000,118000,442000
"Shopkins World!",0.00,0.00,4.0,4.3,"Games","Arcade;Action & Adventure",9.3,540000,118000,442000
"SONIC Drive-In",0.00,0.00,4.0,4.3,"Food & Drink","Food & Drink",9.3,540000,118000,442000
"T-Mobile",0.00,0.00,4.0,4.3,"Productivity","Tools",9.3,540000,118000,442000
"The Simpsons™: Tapped Out",0.00,0.00,4.0,4.3,"Games","Casual",9.3,540000,118000,442000
"WEB.DE Mail",0.00,0.00,4.0,4.3,"Productivity","Communication",9.3,540000,118000,442000
"Amazon Prime Video",0.00,0.00,4.0,4.2,"Entertainment","Entertainment",9.2,540000,118000,442000
"Angry Birds Friends",0.00,0.00,4.0,4.2,"Games","Arcade",9.2,540000,118000,442000
"Angry Birds Go!",0.00,0.00,4.0,4.2,"Games","Racing",9.2,540000,118000,442000
"Bejeweled Blitz",0.00,0.00,4.0,4.2,"Games","Puzzle",9.2,540000,118000,442000
"Driving Zone",0.00,0.00,4.0,4.2,"Games","Racing",9.2,540000,118000,442000
"Dumb Ways to Die 2: The Games",0.00,0.00,4.0,4.2,"Games","Casual",9.2,540000,118000,442000
"Google Classroom",0.00,0.00,4.0,4.2,"Education","Education",9.2,540000,118000,442000
"Google Slides",0.00,0.00,4.0,4.2,"Productivity","Productivity",9.2,540000,118000,442000
"Google Street View",0.00,0.00,4.0,4.2,"Travel","Travel & Local",9.2,540000,118000,442000
"King of Avalon: Dragon Warfare",0.00,0.00,4.0,4.2,"Games","Strategy",9.2,540000,118000,442000
"MARVEL Avengers Academy",0.00,0.00,4.0,4.2,"Games","Adventure",9.2,540000,118000,442000
"NASCAR MOBILE",0.00,0.00,4.0,4.2,"Sports","Sports",9.2,540000,118000,442000
"Cartoon Wars 3",0.00,0.00,4.0,4.1,"Games","Role Playing",9.1,540000,118000,442000
"diep.io",0.00,0.00,4.0,4.1,"Games","Action",9.1,540000,118000,442000
"DRAGON BALL Z DOKKAN BATTLE",0.00,0.00,4.0,4.1,"Games","Action",9.1,540000,118000,442000
"LEGO® Juniors Create & Cruise",0.00,0.00,4.0,4.1,"Games","Educational;Action & Adventure",9.1,540000,118000,442000
"My Little Pony: Harmony Quest",0.00,0.00,4.0,4.1,"Entertainment","Casual;Action & Adventure",9.1,540000,118000,442000
"Peggle Blast",0.00,0.00,4.0,4.1,"Games","Card",9.1,540000,118000,442000
"TED",0.00,0.00,3.5,4.6,"Education","Education",9.1,540000,118000,442000
"Tom's Love Letters",0.00,0.00,4.0,4.1,"Entertainment","Entertainment",9.1,540000,118000,442000
"Tom Loves Angela",0.99,0.00,4.0,4.1,"Entertainment","Entertainment",9.1,540000,118000,442000
"UNO ™ & Friends",0.00,0.00,4.0,4.1,"Games","Card",9.1,540000,118000,442000
"WatchESPN",0.00,0.00,4.0,4.1,"Sports","Sports",9.1,540000,118000,442000
"Allrecipes Dinner Spinner",0.00,0.00,3.5,4.5,"Food & Drink","Food & Drink",9.0,540000,118000,442000
"Does not Commute",0.00,0.00,4.0,4.0,"Games","Racing",9.0,540000,118000,442000
"Hangouts",0.00,0.00,4.0,4.0,"Social Networking","Communication",9.0,540000,118000,442000
"RISK: Global Domination",0.00,0.00,4.0,4.0,"Games","Board;Action & Adventure",9.0,540000,118000,442000
"Boomerang from Instagram",0.00,0.00,3.5,4.4,"Photo & Video","Photography",8.9,540000,118000,442000
"Dropbox",0.00,0.00,3.5,4.4,"Productivity","Productivity",8.9,540000,118000,442000
"Fitbit",0.00,0.00,4.0,3.9,"Health & Fitness","Health & Fitness",8.9,540000,118000,442000
"Google Translate",0.00,0.00,3.5,4.4,"Reference","Tools",8.9,540000,118000,442000
"iFunny :)",0.00,0.00,3.5,4.4,"Entertainment","Entertainment",8.9,540000,118000,442000
"NBA",0.00,0.00,3.5,4.4,"Sports","Sports",8.9,540000,118000,442000
"Netflix",0.00,0.00,3.5,4.4,"Entertainment","Entertainment",8.9,540000,118000,442000
"slither.io",0.00,0.00,3.5,4.4,"Games","Action",8.9,540000,118000,442000
"Speedtest by Ookla",0.00,0.00,3.5,4.4,"Utilities","Tools",8.9,540000,118000,442000
"VSCO",0.00,0.00,3.5,4.4,"Photo & Video","Photography",8.9,540000,118000,442000
"Chick-fil-A",0.00,0.00,3.5,4.3,"Food & Drink","Food & Drink",8.8,540000,118000,442000
"Google Earth",0.00,0.00,3.5,4.3,"Travel","Travel & Local",8.8,540000,118000,442000
"Ingress",0.00,0.00,3.5,4.3,"Games","Adventure",8.8,540000,118000,442000
"Premier League - Official App",0.00,0.00,3.5,4.3,"Sports","Sports",8.8,540000,118000,442000
"STARZ",0.00,0.00,3.5,4.3,"Entertainment","Entertainment",8.8,540000,118000,442000
"Twitter",0.00,0.00,3.5,4.3,"News","News & Magazines",8.8,540000,118000,442000
"Just Dance Now",0.00,0.00,3.5,4.2,"Games","Music",8.7,540000,118000,442000
"Kids A-Z",0.00,0.00,3.5,4.2,"Education","Education;Education",8.7,540000,118000,442000
"LinkedIn",0.00,0.00,3.5,4.2,"Social Networking","Social",8.7,540000,118000,442000
"Nick",0.00,0.00,3.5,4.2,"Entertainment","Entertainment;Music & Video",8.7,540000,118000,442000
"PBS KIDS Video",0.00,0.00,3.5,4.2,"Education","Education;Music & Video",8.7,540000,118000,442000
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",0.00,0.00,3.5,4.2,"Sports","Sports",8.7,540000,118000,442000
"DIRECTV",0.00,0.00,3.5,4.1,"Entertainment","Entertainment",8.6,540000,118000,442000
"Edmodo",0.00,0.00,3.5,4.1,"Education","Education",8.6,540000,118000,442000
"Facebook",0.00,0.00,3.5,4.1,"Social Networking","Social",8.6,540000,118000,442000
"Geocaching®",0.00,0.00,3.5,4.1,"Navigation","Health & Fitness",8.6,540000,118000,442000
"NBC News",0.00,0.00,3.5,4.1,"News","News & Magazines",8.6,540000,118000,442000
"Timehop",0.00,0.00,3.5,4.1,"Social Networking","Social",8.6,540000,118000,442000
"USA TODAY",0.00,0.00,3.5,4.1,"News","News & Magazines",8.6,540000,118000,442000
"YouNow: Live Stream Video Chat",0.00,0.00,3.5,4.1,"Social Networking","Social",8.6,540000,118000,442000
"Citi Mobile®",0.00,0.00,3.5,4.0,"Finance","Finance",8.5,540000,118000,442000
"DB Navigator",0.00,0.00,3.5,4.0,"Travel","Maps & Navigation",8.5,540000,118000,442000
"NHL",0.00,0.00,3.5,4.0,"Sports","Sports",8.5,540000,118000,442000
"Tinder",0.00,0.00,3.5,4.0,"Lifestyle","Lifestyle",8.5,540000,118000,442000
"Mobile Strike",0.00,0.00,3.5,3.9,"Games","Strategy",8.4,480000,106000,394000
